Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Amount Product,Unit Price,Quantity,Purchase Date,Shipping Type,Amount Add-on,Total Amount,Add-on1,Add-on2,Add-on3,Periode
1030,69,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,4224.15,844.83,5,2024-02-27,Express,46.03,4270.179999999999,Accessory,Impulse Item,Accessory,2024-02
1031,20,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,2024-01-21,Express,0.0,5913.81,None,None,None,2024-01
1031,20,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,103.75,20.75,5,2024-09-03,Overnight,17.79,121.53999999999999,Accessory,Accessory,None,2024-09
1033,54,Female,No,Tablet,SKU1002,3,Completed,Debit Card,988.12,247.03,4,2023-11-30,Overnight,0.0,988.12,None,None,None,2023-11
1033,54,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,3164.76,791.19,4,2024-01-12,Standard,49.24,3214.0,Accessory,Accessory,None,2024-01
1035,32,Female,No,Smartphone,SKU1001,5,Completed,Cash,186.75,20.75,9,2023-09-24,Standard,0.0,186.75,None,None,None,2023-09
1035,32,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,62.25,20.75,3,2024-03-25,Standard,33.56,95.81,Accessory,Accessory,None,2024-03
1036,60,Male,Yes,Smartphone,SKU1004,2,Cancelled,Debit Card,3955.95,791.19,5,2023-10-12,Standard,56.62,4012.5699999999997,Extended Warranty,Impulse Item,None,2023-10
1036,60,Male,Yes,Smartphone,SKU1004,2,Cancelled,PayPal,791.19,791.19,1,2024-01-28,Express,0.0,791.19,None,None,None,2024-01
1038,56,Female,No,Smartwatch,SKU1003,3,Completed,PayPal,4224.15,844.83,5,2024-07-08,Overnight,10.0,4234.15,Extended Warranty,None,None,2024-07
1038,56,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,5068.98,844.83,6,2024-07-29,Standard,0.0,5068.98,None,None,None,2024-07
1038,56,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,145.25,20.75,7,2024-08-17,Express,47.94,193.19,Accessory,Extended Warranty,None,2024-08
1038,56,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,5538.33,791.19,7,2024-09-23,Overnight,26.01,5564.34,Extended Warranty,Accessory,None,2024-09
1039,53,Female,No,Tablet,SKU1002,3,Completed,Credit Card,1729.21,247.03,7,2024-08-31,Standard,0.0,1729.21,None,None,None,2024-08
1040,45,Female,Yes,Smartphone,SKU1004,2,Completed,Credit Card,6329.52,791.19,8,2023-10-16,Standard,92.79,6422.31,Accessory,Extended Warranty,Extended Warranty,2023-10
1042,65,Female,No,Smartphone,SKU1001,5,Cancelled,Credit Card,145.25,20.75,7,2024-06-26,Overnight,53.02,198.27,Impulse Item,Impulse Item,None,2024-06
1042,65,Female,No,Smartwatch,SKU1003,3,Completed,Cash,5913.81,844.83,7,2024-07-16,Overnight,111.25,6025.06,Impulse Item,Accessory,Extended Warranty,2024-07
1043,76,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,207.5,20.75,10,2024-03-05,Overnight,0.0,207.5,None,None,None,2024-03
1047,73,Male,No,Tablet,SKU1002,3,Completed,Debit Card,2470.3,247.03,10,2023-12-11,Express,63.23,2533.53,Accessory,Impulse Item,None,2023-12
1048,67,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,2470.3,247.03,10,2023-10-28,Express,0.0,2470.3,None,None,None,2023-10
1049,50,Female,No,Smartphone,SKU1001,5,Completed,PayPal,145.25,20.75,7,2024-06-25,Standard,86.36,231.61,Accessory,Impulse Item,Accessory,2024-06
1052,72,Male,No,Smartwatch,SKU1003,3,Cancelled,Cash,5068.98,844.83,6,2024-08-03,Standard,45.46,5114.44,Accessory,None,None,2024-08
1053,79,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,2023-12-20,Standard,88.3,4263.9400000000005,Impulse Item,Impulse Item,Accessory,2023-12
1054,30,Female,Yes,Smartphone,SKU1001,5,Completed,PayPal,62.25,20.75,3,2024-05-08,Standard,79.9,142.15,Impulse Item,Extended Warranty,Impulse Item,2024-05
1056,24,Female,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2024-04-27,Overnight,41.24,1897.08,Accessory,Extended Warranty,None,2024-04
1057,71,Female,No,Smartwatch,SKU1003,3,Cancelled,PayPal,7603.47,844.83,9,2023-10-22,Express,0.0,7603.47,None,None,None,2023-10
1057,71,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,1482.18,247.03,6,2024-03-28,Express,116.77,1598.95,Extended Warranty,Accessory,Impulse Item,2024-03
1058,21,Female,No,Smartphone,SKU1001,5,Completed,PayPal,166.0,20.75,8,2024-06-12,Overnight,92.57,258.57,Impulse Item,Accessory,Accessory,2024-06
1058,21,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,3955.95,791.19,5,2024-07-08,Express,0.0,3955.95,None,None,None,2024-07
1059,37,Male,No,Laptop,SKU1005,3,Completed,PayPal,3247.72,463.96,7,2024-02-22,Overnight,66.17,3313.89,Extended Warranty,Extended Warranty,None,2024-02
1059,37,Male,No,Laptop,SKU1005,3,Completed,Debit Card,463.96,463.96,1,2024-06-27,Express,5.52,469.47999999999996,Extended Warranty,None,None,2024-06
1060,72,Male,Yes,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2023-09-28,Standard,52.01,1907.85,Accessory,Impulse Item,Extended Warranty,2023-09
1060,72,Male,Yes,Tablet,SKU1002,3,Completed,PayPal,1482.18,247.03,6,2023-12-07,Overnight,31.89,1514.0700000000002,Impulse Item,None,None,2023-12
1060,72,Male,No,Smartphone,SKU1004,2,Completed,PayPal,1582.38,791.19,2,2024-01-29,Overnight,49.59,1631.97,Impulse Item,None,None,2024-01
1061,56,Male,Yes,Tablet,SKU1002,3,Completed,Cash,1976.24,247.03,8,2023-10-25,Standard,14.49,1990.73,Impulse Item,None,None,2023-10
1061,56,Male,No,Laptop,SKU1005,3,Completed,PayPal,463.96,463.96,1,2024-05-21,Express,83.41,547.37,Impulse Item,Accessory,None,2024-05
1062,62,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,6329.52,791.19,8,2024-03-23,Standard,26.24,6355.76,Impulse Item,Extended Warranty,None,2024-03
1063,64,Male,Yes,Laptop,SKU1005,3,Completed,PayPal,1855.84,463.96,4,2024-04-25,Standard,0.0,1855.84,None,None,None,2024-04
1063,64,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,2373.57,791.19,3,2024-07-08,Express,6.47,2380.04,Extended Warranty,None,None,2024-07
1066,44,Female,No,Smartphone,SKU1004,2,Cancelled,PayPal,2373.57,791.19,3,2024-02-28,Standard,43.16,2416.73,Accessory,Extended Warranty,Impulse Item,2024-02
1066,44,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,2373.57,791.19,3,2024-07-13,Overnight,40.68,2414.25,Extended Warranty,Impulse Item,None,2024-07
1067,49,Male,No,Tablet,SKU1002,3,Cancelled,PayPal,1729.21,247.03,7,2023-10-17,Standard,0.0,1729.21,None,None,None,2023-10
1067,49,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,1689.66,844.83,2,2023-12-30,Standard,81.55,1771.21,Impulse Item,Accessory,Impulse Item,2023-12
1069,27,Male,No,Smartphone,SKU1001,5,Completed,Cash,145.25,20.75,7,2024-05-21,Standard,96.61,241.86,Accessory,Extended Warranty,None,2024-05
1070,30,Male,No,Smartphone,SKU1001,5,Cancelled,PayPal,62.25,20.75,3,2023-11-29,Standard,6.3,68.55,Extended Warranty,None,None,2023-11
1071,54,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,7603.47,844.83,9,2024-06-17,Overnight,0.0,7603.47,None,None,None,2024-06
1073,46,Female,No,Tablet,SKU1002,3,Completed,Cash,2223.27,247.03,9,2024-07-11,Standard,8.66,2231.93,Accessory,None,None,2024-07
1073,46,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,1976.24,247.03,8,2024-09-12,Express,46.38,2022.6200000000001,Extended Warranty,None,None,2024-09
1074,58,Male,No,Smartwatch,SKU1003,3,Completed,Cash,7603.47,844.83,9,2023-11-06,Standard,58.95,7662.42,Accessory,Impulse Item,None,2023-11
1077,26,Male,No,Smartphone,SKU1004,2,Completed,Cash,2373.57,791.19,3,2023-12-26,Express,12.28,2385.8500000000004,Extended Warranty,None,None,2023-12
1077,26,Male,No,Tablet,SKU1002,3,Completed,Cash,1482.18,247.03,6,2024-05-14,Overnight,12.86,1495.04,Impulse Item,Accessory,None,2024-05
1079,64,Male,No,Smartphone,SKU1001,5,Completed,PayPal,41.5,20.75,2,2023-10-24,Standard,25.61,67.11,Impulse Item,None,None,2023-10
1079,64,Male,Yes,Smartphone,SKU1004,2,Completed,PayPal,3164.76,791.19,4,2024-09-12,Overnight,8.16,3172.92,Impulse Item,None,None,2024-09
1079,64,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,2373.57,791.19,3,2024-09-15,Overnight,101.06,2474.63,Extended Warranty,Accessory,Extended Warranty,2024-09
1080,55,Female,No,Smartphone,SKU1004,2,Cancelled,PayPal,3164.76,791.19,4,2024-01-03,Standard,0.0,3164.76,None,None,None,2024-01
1080,55,Female,No,Tablet,SKU1002,3,Completed,Credit Card,247.03,247.03,1,2024-08-18,Express,16.65,263.68,Impulse Item,None,None,2024-08
1083,24,Male,No,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,2024-07-29,Overnight,0.0,3379.32,None,None,None,2024-07
1085,74,Male,No,Smartphone,SKU1001,5,Completed,Cash,20.75,20.75,1,2023-10-11,Express,91.36,112.11,Impulse Item,Impulse Item,Extended Warranty,2023-10
1085,74,Male,No,Tablet,SKU1002,3,Completed,Cash,741.09,247.03,3,2024-05-02,Overnight,10.04,751.13,Extended Warranty,None,None,2024-05
1086,76,Male,No,Smartphone,SKU1001,5,Completed,PayPal,166.0,20.75,8,2024-07-01,Overnight,25.72,191.72,Accessory,None,None,2024-07
1089,45,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,3955.95,791.19,5,2024-08-09,Express,0.0,3955.95,None,None,None,2024-08
1090,31,Male,No,Tablet,SKU1002,3,Cancelled,Debit Card,741.09,247.03,3,2024-05-04,Express,22.88,763.97,Extended Warranty,None,None,2024-05
1091,22,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Credit Card,1689.66,844.83,2,2024-03-22,Express,14.52,1704.18,Impulse Item,Extended Warranty,None,2024-03
1093,56,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,7120.71,791.19,9,2024-04-27,Express,29.11,7149.82,Impulse Item,None,None,2024-04
1094,65,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,20.75,20.75,1,2024-05-07,Overnight,0.0,20.75,None,None,None,2024-05
1096,20,Female,Yes,Smartphone,SKU1001,5,Completed,PayPal,41.5,20.75,2,2023-12-13,Standard,27.89,69.39,Accessory,None,None,2023-12
1096,20,Female,No,Laptop,SKU1005,3,Completed,Cash,4639.6,463.96,10,2024-05-15,Overnight,85.32,4724.92,Extended Warranty,Extended Warranty,None,2024-05
1097,19,Male,No,Tablet,SKU1002,3,Completed,PayPal,988.12,247.03,4,2024-03-25,Express,51.12,1039.24,Accessory,Accessory,None,2024-03
1099,68,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,1582.38,791.19,2,2023-10-09,Standard,100.12,1682.5,Impulse Item,Extended Warranty,Impulse Item,2023-10
1099,68,Female,No,Laptop,SKU1005,3,Cancelled,PayPal,1391.88,463.96,3,2024-05-31,Overnight,0.0,1391.88,None,None,None,2024-05
1100,63,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,741.09,247.03,3,2024-02-29,Express,35.79,776.88,Extended Warranty,None,None,2024-02
1100,63,Female,Yes,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,2024-05-19,Overnight,48.78,3428.1000000000004,Impulse Item,Impulse Item,Extended Warranty,2024-05
1101,33,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,207.5,20.75,10,2023-10-09,Standard,88.38,295.88,Accessory,Accessory,None,2023-10
1101,33,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,791.19,791.19,1,2023-10-25,Overnight,32.35,823.5400000000001,Impulse Item,None,None,2023-10
1101,33,Female,No,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,2024-05-23,Overnight,125.35,166.85,Impulse Item,Extended Warranty,Impulse Item,2024-05
1101,33,Female,No,Smartphone,SKU1001,5,Completed,PayPal,62.25,20.75,3,2024-07-23,Express,77.61,139.86,Impulse Item,Accessory,None,2024-07
1102,55,Male,No,Smartphone,SKU1001,5,Cancelled,PayPal,166.0,20.75,8,2024-08-06,Express,0.0,166.0,None,None,None,2024-08
1105,42,Female,No,Tablet,SKU1002,3,Completed,Debit Card,1482.18,247.03,6,2024-09-20,Overnight,102.0,1584.18,Impulse Item,Accessory,Extended Warranty,2024-09
1109,37,Female,No,Laptop,SKU1005,3,Cancelled,Debit Card,1855.84,463.96,4,2024-03-25,Overnight,104.93,1960.77,Accessory,Impulse Item,Accessory,2024-03
1109,37,Female,Yes,Smartphone,SKU1001,5,Completed,Debit Card,186.75,20.75,9,2024-07-13,Overnight,42.66,229.41,Accessory,None,None,2024-07
1110,76,Male,No,Smartphone,SKU1001,5,Completed,Credit Card,207.5,20.75,10,2024-07-11,Express,0.0,207.5,None,None,None,2024-07
1112,58,Female,No,Tablet,SKU1002,3,Completed,PayPal,2223.27,247.03,9,2024-02-15,Overnight,63.79,2287.06,Accessory,Accessory,None,2024-02
1112,58,Female,No,Tablet,SKU1002,3,Completed,PayPal,2223.27,247.03,9,2024-06-19,Express,48.57,2271.84,Extended Warranty,Extended Warranty,None,2024-06
1114,25,Female,No,Smartphone,SKU1004,2,Completed,PayPal,4747.14,791.19,6,2024-01-31,Overnight,71.97,4819.110000000001,Impulse Item,Extended Warranty,Extended Warranty,2024-01
1115,31,Female,No,Smartphone,SKU1004,2,Cancelled,Cash,791.19,791.19,1,2023-12-30,Overnight,53.95,845.1400000000001,Impulse Item,Accessory,None,2023-12
1115,31,Female,Yes,Smartwatch,SKU1003,3,Completed,PayPal,844.83,844.83,1,2024-06-04,Overnight,0.0,844.83,None,None,None,2024-06
1115,31,Female,No,Tablet,SKU1002,3,Completed,Debit Card,247.03,247.03,1,2024-09-10,Standard,0.0,247.03,None,None,None,2024-09
1116,55,Female,No,Laptop,SKU1005,3,Cancelled,PayPal,4175.64,463.96,9,2024-01-10,Overnight,15.85,4191.490000000001,Extended Warranty,None,None,2024-01
1116,55,Female,No,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2024-05-20,Express,0.0,4175.64,None,None,None,2024-05
1117,34,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,1689.66,844.83,2,2024-03-06,Overnight,48.25,1737.91,Impulse Item,Accessory,None,2024-03
1119,24,Male,No,Tablet,SKU1002,3,Completed,Credit Card,1482.18,247.03,6,2024-01-12,Standard,65.34,1547.52,Accessory,Impulse Item,None,2024-01
1120,40,Female,Yes,Smartphone,SKU1001,5,Completed,Debit Card,186.75,20.75,9,2023-12-13,Express,48.52,235.27,Extended Warranty,None,None,2023-12
1120,40,Female,No,Smartphone,SKU1001,5,Cancelled,Credit Card,103.75,20.75,5,2024-02-25,Express,0.0,103.75,None,None,None,2024-02
1122,69,Male,Yes,Smartphone,SKU1004,2,Cancelled,PayPal,5538.33,791.19,7,2024-09-15,Express,0.0,5538.33,None,None,None,2024-09
1123,79,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Credit Card,6758.64,844.83,8,2024-04-09,Overnight,54.15,6812.79,Extended Warranty,Accessory,None,2024-04
1123,79,Male,Yes,Smartphone,SKU1004,2,Completed,Debit Card,791.19,791.19,1,2024-08-12,Standard,5.86,797.0500000000001,Accessory,None,None,2024-08
1124,24,Female,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2024-02-12,Overnight,0.0,1855.84,None,None,None,2024-02
1124,24,Female,Yes,Laptop,SKU1005,3,Completed,Debit Card,3711.68,463.96,8,2024-02-26,Standard,85.04,3796.72,Extended Warranty,Accessory,Extended Warranty,2024-02
1124,24,Female,No,Smartphone,SKU1004,2,Completed,PayPal,3164.76,791.19,4,2024-09-05,Overnight,104.82,3269.5800000000004,Impulse Item,Extended Warranty,Impulse Item,2024-09
1125,46,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,2024-01-08,Express,0.0,5913.81,None,None,None,2024-01
1125,46,Male,No,Laptop,SKU1005,3,Completed,Cash,3711.68,463.96,8,2024-08-24,Standard,67.21,3778.89,Impulse Item,Impulse Item,Accessory,2024-08
1127,80,Male,No,Smartwatch,SKU1003,3,Completed,PayPal,6758.64,844.83,8,2023-12-06,Express,65.02,6823.660000000001,Impulse Item,Impulse Item,None,2023-12
1127,80,Male,No,Smartphone,SKU1001,5,Cancelled,PayPal,166.0,20.75,8,2024-03-22,Express,63.03,229.03,Extended Warranty,Accessory,Accessory,2024-03
1129,36,Female,Yes,Smartphone,SKU1001,5,Cancelled,Cash,20.75,20.75,1,2023-12-09,Overnight,0.0,20.75,None,None,None,2023-12
1130,75,Female,Yes,Smartphone,SKU1004,2,Completed,Debit Card,4747.14,791.19,6,2023-11-04,Express,46.92,4794.06,Impulse Item,Extended Warranty,None,2023-11
1132,18,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,124.5,20.75,6,2024-05-02,Standard,48.93,173.43,Extended Warranty,Extended Warranty,None,2024-05
1133,25,Male,No,Laptop,SKU1005,3,Completed,Cash,1391.88,463.96,3,2024-03-27,Express,39.14,1431.0200000000002,Accessory,None,None,2024-03
1133,25,Male,Yes,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,2024-07-06,Standard,81.34,6839.9800000000005,Extended Warranty,Extended Warranty,Impulse Item,2024-07
1134,23,Male,Yes,Smartphone,SKU1004,2,Completed,PayPal,6329.52,791.19,8,2023-12-01,Express,68.66,6398.18,Extended Warranty,Impulse Item,None,2023-12
1134,23,Male,No,Laptop,SKU1005,3,Completed,Debit Card,927.92,463.96,2,2023-12-22,Overnight,43.76,971.68,Impulse Item,Extended Warranty,None,2023-12
1134,23,Male,No,Laptop,SKU1005,3,Cancelled,Debit Card,3711.68,463.96,8,2024-06-10,Express,102.64,3814.3199999999997,Extended Warranty,Extended Warranty,Extended Warranty,2024-06
1134,23,Male,No,Smartphone,SKU1004,2,Completed,PayPal,7120.71,791.19,9,2024-07-22,Standard,0.0,7120.71,None,None,None,2024-07
1136,20,Female,No,Smartwatch,SKU1003,3,Completed,Credit Card,844.83,844.83,1,2023-12-14,Overnight,41.06,885.8900000000001,Accessory,None,None,2023-12
1139,56,Female,No,Smartphone,SKU1004,2,Cancelled,Debit Card,6329.52,791.19,8,2024-09-21,Overnight,46.71,6376.2300000000005,Extended Warranty,Extended Warranty,Accessory,2024-09
1141,61,Male,No,Smartphone,SKU1001,5,Completed,PayPal,20.75,20.75,1,2023-12-02,Express,11.92,32.67,Extended Warranty,None,None,2023-12
1141,61,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1391.88,463.96,3,2023-12-30,Standard,42.12,1434.0,Impulse Item,None,None,2023-12
1141,61,Male,No,Laptop,SKU1005,3,Completed,Debit Card,3711.68,463.96,8,2024-04-14,Standard,60.23,3771.91,Impulse Item,Extended Warranty,None,2024-04
1142,63,Female,No,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2023-10-26,Standard,33.15,4208.79,Accessory,None,None,2023-10
1143,27,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,2023-12-06,Express,0.0,3379.32,None,None,None,2023-12
1144,42,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,844.83,844.83,1,2024-02-26,Overnight,89.92,934.75,Extended Warranty,Accessory,None,2024-02
1145,75,Female,No,Smartphone,SKU1001,5,Completed,Cash,83.0,20.75,4,2024-01-19,Overnight,16.42,99.42,Extended Warranty,None,None,2024-01
1145,75,Female,No,Smartphone,SKU1001,5,Completed,PayPal,62.25,20.75,3,2024-05-23,Express,23.28,85.53,Extended Warranty,None,None,2024-05
1145,75,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,5068.98,844.83,6,2024-09-13,Express,12.0,5080.98,Extended Warranty,None,None,2024-09
1147,24,Male,Yes,Smartwatch,SKU1003,3,Completed,Cash,8448.3,844.83,10,2024-07-19,Overnight,85.51,8533.81,Impulse Item,Accessory,Accessory,2024-07
1148,77,Female,Yes,Tablet,SKU1002,3,Completed,Cash,2470.3,247.03,10,2024-03-05,Standard,0.0,2470.3,None,None,None,2024-03
1148,77,Female,No,Laptop,SKU1005,3,Cancelled,Credit Card,927.92,463.96,2,2024-03-14,Standard,0.0,927.92,None,None,None,2024-03
1148,77,Female,No,Smartphone,SKU1004,2,Completed,PayPal,3955.95,791.19,5,2024-08-17,Standard,102.68,4058.6299999999997,Impulse Item,Impulse Item,Extended Warranty,2024-08
1149,60,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,3379.32,844.83,4,2023-10-30,Overnight,46.83,3426.15,Extended Warranty,Accessory,Impulse Item,2023-10
1149,60,Male,No,Smartphone,SKU1001,5,Cancelled,PayPal,103.75,20.75,5,2024-07-06,Express,35.49,139.24,Impulse Item,None,None,2024-07
1149,60,Male,Yes,Smartphone,SKU1001,5,Completed,Credit Card,83.0,20.75,4,2024-08-11,Express,90.09,173.09,Accessory,Extended Warranty,Accessory,2024-08
1150,21,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,5538.33,791.19,7,2024-03-16,Express,35.65,5573.98,Accessory,None,None,2024-03
1151,19,Female,No,Tablet,SKU1002,3,Completed,PayPal,1235.15,247.03,5,2024-04-10,Express,76.73,1311.88,Impulse Item,Impulse Item,None,2024-04
1151,19,Female,No,Smartphone,SKU1001,5,Cancelled,Cash,166.0,20.75,8,2024-07-18,Express,0.0,166.0,None,None,None,2024-07
1152,45,Female,No,Smartphone,SKU1001,5,Completed,Cash,124.5,20.75,6,2024-02-10,Express,66.83,191.32999999999998,Impulse Item,Impulse Item,Accessory,2024-02
1154,70,Female,No,Laptop,SKU1005,3,Completed,Credit Card,463.96,463.96,1,2024-09-09,Overnight,0.0,463.96,None,None,None,2024-09
